"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410110004001,16.25534297,0.147306397,0.565106383,0.120879121,0,0.009259259,0.297979798,1,2,NA,"Low",5.481357,6,6,"(0.139,0.172]",5,"(0,0.00931]",1,"(0.248,0.309]",9,"(0.0968,0.122]",7,"(0.499,0.592]",9,"(0, 0]",1,570,570,1
410110004002,16.25534297,0.228245364,0.154949785,0.06445993,0,0.009985735,0.300998573,1,0,NA,"Low",5.481357,6,6,"(0.212,0.266]",7,"(0.00931,0.023]",2,"(0.248,0.309]",9,"(0.0616,0.0788]",5,"(0.119,0.177]",2,"(0, 0]",1,NA,NA,NA
410110004003,16.25534297,0.423286181,0.57615894,0.033444816,0,0.033732318,0.178454842,0,1,NA,"Low",5.481357,6,6,"(0.336,0.442]",9,"(0.0324,0.0419]",4,"(0.158,0.183]",6,"(0.0282,0.0447]",3,"(0.499,0.592]",9,"(0, 0]",1,NA,NA,NA
410110004004,16.25534297,0.066448802,0.01416122,0.05141844,0,0.045751634,0.17211329,0,0,NA,"Low",5.481357,6,6,"(0.0503,0.0826]",2,"(0.0419,0.0505]",5,"(0.158,0.183]",6,"(0.0447,0.0616]",4,"(0,0.119]",1,"(0, 0]",1,NA,NA,NA
410110004005,16.25534297,0.032392027,0.275747508,0.046116505,0,0.115448505,0.166943522,0,0,NA,"Low",5.481357,6,6,"(0,0.0503]",1,"(0.1,0.245]",10,"(0.158,0.183]",6,"(0.0447,0.0616]",4,"(0.233,0.283]",4,"(0, 0]",1,NA,NA,NA
410110004006,16.25534297,0.243856333,0.381222432,0.057168784,0,0.103339635,0.22747322,0,0,NA,"Medium",5.481357,7,6.235522,"(0.212,0.266]",7,"(0.1,0.245]",10,"(0.21,0.248]",8,"(0.0447,0.0616]",4,"(0.38,0.432]",7,"(0, 0]",1,NA,NA,NA
410110005021,14.79944423,0.071493213,0.319004525,0.097300337,0,0.012669683,0.317647059,2,0,NA,"Medium",5.469933,6,5.038757,"(0.0503,0.0826]",2,"(0.00931,0.023]",2,"(0.309,0.832]",10,"(0.0968,0.122]",7,"(0.283,0.331]",5,"(0, 0]",1,NA,NA,NA
410110005022,14.79944423,0.115328467,0.52151463,0.097959184,0,0.020437956,0.265693431,5,2,NA,"Medium",5.469933,6,5.120154,"(0.109,0.139]",4,"(0.00931,0.023]",2,"(0.248,0.309]",9,"(0.0968,0.122]",7,"(0.499,0.592]",9,"(0, 0]",1,1115,1575,3
410110005031,15.50894449,0.124659401,0.276668961,0.072970195,0,0.027247956,0.147820163,0,0,NA,"Medium",5.492752,6,6,"(0.109,0.139]",4,"(0.023,0.0324]",3,"(0.134,0.158]",5,"(0.0616,0.0788]",5,"(0.233,0.283]",4,"(0, 0]",1,NA,NA,NA
410110005032,15.50894449,0.28290469,0.488973384,0.13022113,0.011061947,0.105900151,0.160363086,1,2,NA,"Low",5.492752,6,6,"(0.266,0.336]",8,"(0.1,0.245]",10,"(0.158,0.183]",6,"(0.122,0.157]",8,"(0.432,0.499]",8,"(0.07901, 0.0218]",7,425,425,1
410110005041,15.28640029,0.437775816,0.703366697,0.201320132,0,0.136804943,0.127096205,0,0,NA,"Medium",5.52155,7,6.395531,"(0.336,0.442]",9,"(0.1,0.245]",10,"(0.113,0.134]",4,"(0.157,0.213]",9,"(0.592,1]",10,"(0, 0]",1,NA,NA,NA
410110005042,15.28640029,0.201824401,0.391106043,0.075933076,0,0.062713797,0.545039909,0,0,NA,"Medium",5.52155,7,6.612969,"(0.172,0.212]",6,"(0.0588,0.0686]",7,"(0.309,0.832]",10,"(0.0616,0.0788]",5,"(0.38,0.432]",7,"(0, 0]",1,NA,NA,NA
